,Company Name,Industry,Symbol,Series,ISIN Code
58,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
59,LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
60,Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
61,Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
62,Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
63,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
64,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
65,NHPC Ltd.,Power,NHPC,EQ,INE848E01016
66,NTPC Ltd.,Power,NTPC,EQ,INE733E01010
67,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
68,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
69,Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
70,Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
71,Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
72,Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
73,REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
74,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
75,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
76,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
77,Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
78,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013
79,Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
80,State Bank of India,Financial Services,SBIN,EQ,INE062A01020
81,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
82,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
83,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
84,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
85,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
86,Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
87,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
88,Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
89,Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
90,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
91,Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
92,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
93,Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
94,United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
95,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
96,Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
97,Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
98,Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015
99,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
