Symbol,Series,Security Name,Band,Remarks
ARTNIRMAN,BE,ART NIRMAN LIMITED,5,"-"
ARVEE,EQ,ARVEE LABORATORIES (INDIA) LIMITED,5,"-"
ARVINDPORT,ST,ARVIND PORT AND INFRA LIMITED,5,"-"
ASCOM,ST,ASCOM LEASING & INVESTMENTS LIMITED,5,"-"
ASHAPURMIN,EQ,ASHAPURA MINECHEM LIMITED,5,"-"
ASLIND,SM,ASL INDUSTRIES LIMITED,5,"-"
ASPIRE,ST,ASPIRE & INNOVATIVE ADVERTISING LIMITED,5,"-"
ASTRON,EQ,ASTRON PAPER & BOARD MILL LIMITED,5,"-"
ATALREAL,EQ,ATAL REALTECH LIMITED,5,"-"
ATLANTAA,BE,ATLANTAA LIMITED,5,"-"
ATMASTCO,ST,ATMASTCO LIMITED,5,"-"
AURDIS,ST,AURANGABAD DISTILLERY LIMITED,5,"-"
AUSOMENT,EQ,AUSOM ENTERPRISE LIMITED,5,"-"
AVALON,EQ,AVALON TECHNOLOGIES LIMITED,5,"-"
AVG,BE,AVG LOGISTICS LIMITED,5,"-"
AVIANSH,ST,AVI ANSH TEXTILE LIMITED,5,"-"
AVONMORE,BE,AVONMORE CAPITAL & MANAGEMENT SERVICES  LIMITED,5,"-"
AVPINFRA,ST,AVP INFRACON LIMITED,5,"-"
AVROIND,EQ,AVRO INDIA LIMITED,5,"-"
AVSL,ST,AVSL INDUSTRIES LIMITED,5,"-"
AXISCADES,BE,AXISCADES TECHNOLOGIES LIMITED,5,"-"
AYMSYNTEX,EQ,AYM SYNTEX LIMITED,5,"-"
BAFNAPH,BE,BAFNA PHARMACEUTICALS LIMITED,5,"-"
BAGFILMS,BE,B.A.G FILMS AND MEDIA LIMITED,5,"-"
BAJAJINDEF,BE,INDEF MANUFACTURING LIMITED,5,"-"
BALAJITELE,BE,BALAJI TELEFILMS LIMITED,5,"-"
BALCO,ST,SOLVE PLASTIC PRODUCTS LIMITED,5,"-"
BANARBEADS,BE,BANARAS BEADS LIMITED,5,"-"
BANG,BE,BANG OVERSEAS LIMITED,5,"-"
BBOX,EQ,BLACK BOX LIMITED,5,"-"
BDR,IT,BDR BUILDCON LIMITED,5,"-"
BESTAGRO,BE,BEST AGROLIFE LIMITED,5,"-"
BEWLTD,ST,BEW ENGINEERING LIMITED,5,"-"
BGRENERGY,BE,BGR ENERGY SYSTEMS LIMITED,5,"-"
BIKEWO,ST,BIKEWO GREEN TECH LIMITED,5,"-"
BIL,BE,BHARTIYA INTERNATIONAL LIMITED,5,"-"
BIRDYS,SM,GRILL SPLENDOUR SERVICES LIMITED,5,"-"
BIRLAMONEY,BE,ADITYA BIRLA MONEY LIMITED,5,"-"
BLACKBUCK,EQ,ZINKA LOGISTICS SOLUTIONS LIMITED,5,"-"
BLUEJET,EQ,BLUE JET HEALTHCARE LIMITED,5,"-"
BORORENEW,BE,BOROSIL RENEWABLES LIMITED,5,"-"
BOSS,ST,BOSS PACKAGING SOLUTIONS LIMITED,5,"-"
BRACEPORT,ST,BRACE PORT LOGISTICS LIMITED,5,"-"
BSL,BE,BSL LIMITED,5,"-"
BTML,BE,BODHI TREE MULTIMEDIA LIMITED,5,"-"
BYKE,BE,THE BYKE HOSPITALITY LTD,5,"-"
C2C,ST,C2C ADVANCED SYSTEMS LIMITED,5,"-"
CADSYS,ST,CADSYS (INDIA) LIMITED,5,"-"
CALSOFT,BE,CALIFORNIA SOFTWARE COMPANY LIMITED,5,"-"
CBAZAAR,ST,NET AVENUE TECHNOLOGIES LIMITED,5,"-"
CCCL,BE,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,5,"-"
CEREBRAINT,BZ,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,5,"-"
CHANDAN,ST,CHANDAN HEALTHCARE LIMITED,5,"-"
CINELINE,BE,CINELINE INDIA LIMITED,5,"-"
CMMIPL,SZ,CMM INFRAPROJECTS LIMITED,5,"-"
CMRSL,SM,CYBER MEDIA RESEARCH & SERVICES LIMITED,5,"-"
COMPINFO,BZ,COMPUAGE INFOCOM LIMITED,5,"GSM STAGE - 0"
COMSYN,BE,COMMERCIAL SYN BAGS LIMITED,5,"-"
CPS,ST,C P S SHAPERS LIMITED,5,"-"
CREATIVEYE,EQ,CREATIVE EYE LIMITED,5,"-"
CTE,EQ,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,5,"-"
CUBEXTUB,BE,CUBEX TUBINGS LIMITED,5,"-"
DCI,EQ,DC INFOTECH AND COMMUNICATION LIMITED,5,"-"
DCMFINSERV,EQ,DCM FINANCIAL SERVICES LIMITED,5,"GSM STAGE - 0"
DELTAMAGNT,BE,DELTA MANUFACTURING LIMITED,5,"-"
DELTIC,ST,DELTA AUTOCORP LIMITED,5,"-"
DESTINY,ST,DESTINY LOGISTICS & INFRA LIMITED,5,"-"
DGCONTENT,BE,DIGICONTENT LIMITED,5,"-"
DHANBANK,BE,DHANLAXMI BANK LIMITED,5,"-"
DHANLAXMI,ST,DHANLAXMI CROP SCIENCE LIMITED,5,"-"
DHRUV,BE,DHRUV CONSULTANCY SERVICES LIMITED,5,"-"
DHTL,SM,DOCMODE HEALTH TECHNOLOGIES LIMITED,5,"-"
DIACABS,BE,DIAMOND POWER INFRASTRUCTURE LIMITED,5,"-"
DIFFNKG,BE,DIFFUSION ENGINEERS LIMITED,5,"-"
DIGIKORE,ST,DIGIKORE STUDIOS LIMITED,5,"-"
DIGJAMLMTD,BE,DIGJAM LIMITED,5,"-"
DIL,BE,DEBOCK INDUSTRIES LIMITED,5,"-"
DIVYADHAN,ST,DIVYADHAN RECYCLING INDUSTRIES LIMITED,5,"-"
DJML,BE,DJ MEDIAPRINT & LOGISTICS LIMITED,5,"-"
DOLPHIN,BE,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LIMITED,5,"-"
DPEL,ST,DIVINE POWER ENERGY LIMITED,5,"-"
DRL,ST,DHANUKA REALTY LIMITED,5,"-"
DRONE,ST,DRONE DESTINATION LIMITED,5,"-"
DRSCARGO,ST,DRS CARGO MOVERS LIMITED,5,"-"
DRSDILIP,SM,DRS DILIP ROADLINES LIMITED,5,"-"
DYNAMIC,ST,DYNAMIC SERVICES & SECURITY LIMITED,5,"-"
E2E,EQ,E2E NETWORKS LIMITED,5,"-"
EFFWA,SM,EFFWA INFRA & RESEARCH LIMITED,5,"-"
ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,5,"-"
ELGIRUBCO,BE,ELGI RUBBER COMPANY LIMITED,5,"-"
ELGNZ,ST,ELEGANZ INTERIORS LIMITED,5,"-"
EMAMIREAL,BE,EMAMI REALTY LIMITED,5,"GSM STAGE - II"
EMMIL,ST,ENERGY MISSION MACHINERIES (INDIA) LIMITED,5,"-"
ENERGYDEV,BE,ENERGY DEVELOPMENT COMPANY LIMITED,5,"-"
ENFUSE,ST,ENFUSE SOLUTIONS LIMITED,5,"-"
ENSER,ST,ENSER COMMUNICATIONS LIMITED,5,"-"
EPACK,EQ,EPACK DURABLE LIMITED,5,"-"
EQUIPPP,BE,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED,5,"GSM STAGE - 0"
ESCONET,ST,ESCONET TECHNOLOGIES LIMITED,5,"-"
ESFL,SM,ESSEN SPECIALITY FILMS LIMITED,5,"-"
ESPRIT,ST,ESPRIT STONES LIMITED,5,"-"
ESSARSHPNG,BE,ESSAR SHIPPING LIMITED,5,"-"
EUROTEXIND,BE,EUROTEX INDUSTRIES AND EXPORTS LIMITED,5,"GSM STAGE - 0"
EVERESTIND,BE,EVEREST INDUSTRIES LIMITED,5,"-"
EXCEL,BE,EXCEL REALTY N INFRA LIMITED,5,"-"
EXICOM,EQ,EXICOM TELE-SYSTEMS LIMITED,5,"-"
FALCONTECH,ST,FALCON TECHNOPROJECTS INDIA LIMITED,5,"-"
FELDVR,BE,FUTURE ENTERPRISES LIMITED,5,"GSM STAGE - 0"
FIDEL,ST,FIDEL SOFTECH LIMITED,5,"-"
FLEXITUFF,BE,FLEXITUFF VENTURES INTERNATIONAL LIMITED,5,"-"
FLFL,BZ,FUTURE LIFESTYLE FASHIONS LIMITED,5,"GSM STAGE - 0"
FOCE,SM,FOCE INDIA LIMITED,5,"-"
FOCUS,EQ,FOCUS LIGHTING AND FIXTURES LIMITED,5,"-"
FORCAS,ST,FORCAS STUDIO LIMITED,5,"-"
FRESHARA,ST,FRESHARA AGRO EXPORTS LIMITED,5,"-"
GAJANAND,ST,GAJANAND INTERNATIONAL LIMITED,5,"-"
GANGAFORGE,EQ,GANGA FORGING LIMITED,5,"-"
GATECH,BE,GACM TECHNOLOGIES LIMITED,5,"-"
GATECHDVR,BE,GACM TECHNOLOGIES LIMITED,5,"-"
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,5,"GSM STAGE - II"
GAYAPROJ,BZ,GAYATRI PROJECTS LIMITED,5,"GSM STAGE - I"
GGBL,ST,GANESH GREEN BHARAT LIMITED,5,"-"
GICL,ST,GLOBE INTERNATIONAL CARRIERS LIMITED,5,"-"
GILLANDERS,BE,GILLANDERS ARBUTHNOT & COMPANY LIMITED,5,"-"
GIRIRAJ,ST,GIRIRAJ CIVIL DEVELOPERS LIMITED,5,"-"
GIRRESORTS,IT,GIR NATUREVIEW RESORTS LIMITED,5,"-"
GKWLIMITED,BE,GKW LIMITED,5,"-"
GLOBALE,BE,GLOBALE TESSILE LIMITED,5,"-"
GLOBALVECT,BE,GLOBAL VECTRA HELICORP LIMITED,5,"-"
GLOBE,EQ,GLOBE TEXTILES (INDIA) LIMITED,5,"-"
GODAVARIB,BE,GODAVARI BIOREFINERIES LIMITED,5,"-"
GODFRYPHLP,EQ,GODFREY PHILLIPS INDIA LIMITED,5,"-"
GOENKA,BZ,GOENKA DIAMOND AND JEWELS LIMITED,5,"-"
GOLDENTOBC,BZ,GOLDEN TOBACCO LIMITED,5,"GSM STAGE - 0"
GOLDKART,ST,GOLDKART JEWELS LIMITED,5,"-"
GPECO,ST,GP ECO SOLUTIONS INDIA LIMITED,5,"-"
GRAPHISAD,SM,GRAPHISADS LIMITED,5,"-"
GRCL,SM,GAYATRI RUBBERS AND CHEMICALS LIMITED,5,"-"
GRETEX,ST,GRETEX INDUSTRIES LIMITED,5,"-"
GUJRAFFIA,BE,GUJARAT RAFFIA INDUSTRIES LIMITED,5,"-"
GVT&D,EQ,GE VERNOVA T&D INDIA LIMITED,5,"-"
HARDWYN,BE,HARDWYN INDIA LIMITED,5,"-"
HBSL,EQ,HB STOCKHOLDINGS LIMITED,5,"-"
HECPROJECT,EQ,HEC INFRA PROJECTS LIMITED,5,"-"
HEXATRADEX,EQ,HEXA TRADEX LIMITED,5,"-"
HIGREEN,ST,HI-GREEN CARBON LIMITED,5,"-"
HINDCON,BE,HINDCON CHEMICALS LIMITED,5,"-"
HITECHGEAR,BE,THE HI-TECH GEARS LIMITED,5,"-"
HMT,BZ,HMT LIMITED,5,"-"
HOACFOODS,ST,HOAC FOODS INDIA LIMITED,5,"-"
HOMESFY,SM,HOMESFY REALTY LIMITED,5,"-"
HRHNEXT,ST,HRH NEXT SERVICES LIMITED,5,"-"
HUBTOWN,EQ,HUBTOWN LIMITED,5,"-"
HVAX,ST,HVAX TECHNOLOGIES LIMITED,5,"-"
HYBRIDFIN,EQ,HYBRID FINANCIAL SERVICES LIMITED,5,"-"
IBLFL,ST,IBL FINANCE LIMITED,5,"-"
ICDSLTD,BE,ICDS LIMITED,5,"-"
IDEALTECHO,ST,IDEAL TECHNOPLAST INDUSTRIES LIMITED,5,"-"
IDENTICAL,ST,IDENTICAL BRAINS STUDIOS LIMITED,5,"-"
IEL,BE,INDIABULLS ENTERPRISES LIMITED,5,"-"
IEML,ST,INDIAN EMULSIFIERS LIMITED,5,"-"
IITL,BE,INDUSTRIAL INVESTMENT TRUST LIMITED,5,"-"
IL&FSENGG,BZ,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED,5,"-"
IL&FSTRANS,BZ,IL&FS TRANSPORTATION NETWORKS LIMITED,5,"GSM STAGE - 0"
IMPEXFERRO,BZ,IMPEX FERRO TECH LIMITED,5,"-"
INDIFRA,ST,INDIFRA LIMITED,5,"-"
INDOTECH,EQ,INDO TECH TRANSFORMERS LIMITED,5,"-"
INDOTHAI,BE,INDO THAI SECURITIES LIMITED,5,"-"
INDOUS,BE,INDO US BIOTECH LIMITED,5,"-"
INDSWFTLTD,BE,IND-SWIFT LIMITED,5,"-"
INFINIUM,SM,INFINIUM PHARMACHEM LIMITED,5,"-"
INFOLLION,SM,INFOLLION RESEARCH SERVICES LIMITED,5,"-"
INFOMEDIA,BE,INFOMEDIA PRESS LIMITED,5,"GSM STAGE - II"
IPHL,ST,INDIAN PHOSPHATE LIMITED,5,"-"
IRIS,BE,IRIS BUSINESS SERVICES LIMITED,5,"-"
ISHAN,SM,ISHAN INTERNATIONAL LIMITED,5,"-"
ITI,BE,ITI LIMITED,5,"-"
IZMO,BE,IZMO LIMITED,5,"-"
JAICORPLTD,EQ,JAI CORP LIMITED,5,"-"
JAINAM,ST,JAINAM FERRO ALLOYS (I) LIMITED,5,"-"
JAKHARIA,ST,JAKHARIA FABRIC LIMITED,5,"-"
JAYBEE,ST,JAY BEE LAMINATIONS LIMITED,5,"-"
JETFREIGHT,BE,JET FREIGHT LOGISTICS LIMITED,5,"-"
JETKNIT,ST,JET KNITWEARS LIMITED,5,"-"
JHS,BE,JHS SVENDGAARD LABORATORIES LIMITED,5,"-"
JITFINFRA,BE,JITF INFRALOGISTICS LIMITED,5,"-"
JPASSOCIAT,BE,JAIPRAKASH ASSOCIATES LIMITED,5,"-"
JSWHL,EQ,JSW HOLDINGS LIMITED,5,"-"
JUBLCPL,BE,JUBILANT AGRI AND CONSUMER PRODUCTS LIMITED,5,"-"
KALYANI,BE,KALYANI COMMERCIALS LIMITED,5,"-"
KALYANIFRG,BE,KALYANI FORGE LIMITED,5,"-"
KAMOPAINTS,BE,KAMDHENU VENTURES LIMITED,5,"-"
KANDARP,SM,KANDARP DIGI SMART BPO LIMITED,5,"-"
KATARIA,ST,KATARIA INDUSTRIES LIMITED,5,"-"
KCEIL,ST,KAY CEE ENERGY & INFRA LIMITED,5,"-"
KCK,ST,KCK INDUSTRIES LIMITED,5,"-"
KEEPLEARN,BE,DSJ KEEP LEARNING LIMITED,5,"GSM STAGE - 0"
KEN,ST,KEN ENTERPRISES LIMITED,5,"-"
KERNEX,BE,KERNEX MICROSYSTEMS (INDIA) LIMITED,5,"-"
KITEX,BE,KITEX GARMENTS LIMITED,5,"-"
KKJEWELS,ST,KABRA JEWELS LIMITED,5,"-"
KKVAPOW,SM,KKV AGRO POWERS LIMITED,5,"-"
KONSTELEC,ST,KONSTELEC ENGINEERS LIMITED,5,"-"
KONTOR,SM,KONTOR SPACE LIMITED,5,"-"
KOPRAN,BE,KOPRAN LIMITED,5,"-"
KORE,ST,JAY JALARAM TECHNOLOGIES LIMITED,5,"-"
KOTHARIPRO,BE,KOTHARI PRODUCTS LIMITED,5,"-"
KOTYARK,ST,KOTYARK INDUSTRIES LIMITED,5,"-"
KPEL,EQ,K.P. ENERGY LIMITED,5,"-"
KPIGREEN,EQ,KPI GREEN ENERGY LIMITED,5,"-"
KREBSBIO,BE,KREBS BIOCHEMICALS AND INDUSTRIES LIMITED,5,"-"
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,5,"GSM STAGE - 0"
KRISHCA,ST,KRISHCA STRAPPING SOLUTIONS LIMITED,5,"-"
KRISHIVAL,SM,KRISHIVAL FOODS LIMITED,5,"-"
KRITI,EQ,KRITI INDUSTRIES (INDIA) LIMITED,5,"-"
KRITIKA,BE,KRITIKA WIRES LIMITED,5,"-"
KSHITIJPOL,BE,KSHITIJ POLYLINE LIMITED,5,"-"
KTL,ST,KALAHRIDHAAN TRENDZ LIMITED,5,"-"
LAKPRE,BZ,LAKSHMI PRECISION SCREWS LIMITED,5,"GSM STAGE - 0"
LAKSHYA,ST,LAKSHYA POWERTECH LIMITED,5,"-"
LAL,BE,LORENZINI APPARELS LIMITED,5,"-"
LAMBODHARA,BE,LAMBODHARA TEXTILES LIMITED,5,"-"
LAMOSAIC,ST,LAMOSAIC INDIA LIMITED,5,"-"
LATTEYS,BE,LATTEYS INDUSTRIES LIMITED,5,"-"
LAWSIKHO,ST,ADDICTIVE LEARNING TECHNOLOGY LIMITED,5,"-"
LCCINFOTEC,BE,LCC INFOTECH LIMITED,5,"GSM STAGE - 0"
LEMERITE,ST,LE MERITE EXPORTS LIMITED,5,"-"
LGHL,BE,LAXMI GOLDORNA HOUSE LIMITED,5,"-"
LIQUIDBEES,EQ,NIPPON INDIA ETF NIFTY 1D RATE LIQUID BEES,5,"-"
LOKESHMACH,BE,LOKESH MACHINES LIMITED,5,"-"
LORDSCHLO,BE,LORDS CHLORO ALKALI LIMITED,5,"-"
LOYALTEX,BE,LOYAL TEXTILE MILLS LIMITED,5,"-"
LPDC,BE,LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED,5,"-"
LRRPL,ST,LEAD RECLAIM AND RUBBER PRODUCTS LIMITED,5,"-"
MAANALU,BE,MAAN ALUMINIUM LIMITED,5,"-"
MACPOWER,BE,MACPOWER CNC MACHINES LIMITED,5,"-"
MADHUCON,EQ,MADHUCON PROJECTS LIMITED,5,"-"
MAGSON,ST,MAGSON RETAIL AND DISTRIBUTION LIMITED,5,"-"
MAHEPC,BE,MAHINDRA EPC IRRIGATION LIMITED,5,"-"
MAITREYA,SM,MAITREYA MEDICARE LIMITED,5,"-"
MAKS,SM,MAKS ENERGY SOLUTIONS INDIA LIMITED,5,"-"
MANAKCOAT,BE,MANAKSIA COATED METALS & INDUSTRIES LIMITED,5,"-"
MANAV,SM,MANAV INFRA PROJECTS LIMITED,5,"-"
MANDEEP,SM,MANDEEP AUTO INDUSTRIES LIMITED,5,"-"
MANORG,EQ,MANGALAM ORGANICS LIMITED,5,"-"
MARINE,BE,MARINE ELECTRICALS (INDIA) LIMITED,5,"-"
MARINETRAN,ST,MARINETRANS INDIA LIMITED,5,"-"
MASKINVEST,BE,MASK INVESTMENTS LIMITED,5,"-"
MASTER,SM,MASTER COMPONENTS LIMITED,5,"-"
MAXVOLT,ST,MAXVOLT ENERGY INDUSTRIES LIMITED,5,"-"
MAZDA,BE,MAZDA LIMITED,5,"-"
MCL,BE,MADHAV COPPER LIMITED,5,"-"
MCLEODRUSS,BE,MCLEOD RUSSEL INDIA LIMITED,5,"-"
MCON,ST,MCON RASAYAN INDIA LIMITED,5,"-"
MEDIORG,SM,MEDICAMEN ORGANICS LIMITED,5,"-"
MEGAFLEX,ST,MEGA FLEX PLASTICS LIMITED,5,"-"
MEGASOFT,BE,MEGASOFT LIMITED,5,"-"
MEP,BZ,MEP INFRASTRUCTURE DEVELOPERS LIMITED,5,"GSM STAGE - 0"
MFML,BE,MAHALAXMI FABRIC MILLS LIMITED,5,"-"
MHHL,ST,MOHINI HEALTH & HYGIENE LIMITED,5,"-"
MHLXMIRU,BE,MAHALAXMI RUBTECH LIMITED,5,"-"
MICEL,EQ,MIC ELECTRONICS LIMITED,5,"-"
MIEL,ST,MANGLAM INFRA & ENGINEERING LIMITED,5,"-"
MILTON,SM,MILTON INDUSTRIES LIMITED,5,"-"
MINDPOOL,SM,MINDPOOL TECHNOLOGIES LIMITED,5,"-"
MODTHREAD,EQ,MODERN THREADS (INDIA) LIMITED,5,"-"
MOHITIND,BE,MOHIT INDUSTRIES LIMITED,5,"-"
MONOPHARMA,SM,MONO PHARMACARE LIMITED,5,"-"
MORARJEE,BZ,MORARJEE TEXTILES LIMITED,5,"-"
MOXSH,SM,MOXSH OVERSEAS EDUCON LIMITED,5,"-"
MPTODAY,SM,MADHYA PRADESH TODAY MEDIA LIMITED,5,"-"
MSPL,EQ,MSP STEEL & POWER LIMITED,5,"-"
MYMUDRA,ST,MY MUDRA FINCORP LIMITED,5,"-"
